source_id,gold_label,notes,lat,lon,match_dist_m
jamnagar_21.9057_69.5718,AGRI_BURN,,21.90569,69.57185,0.0
jamnagar_21.8079_70.5507,INDUSTRIAL,,21.80788,70.55065,0.0
jamnagar_22.4428_70.2296,AGRI_BURN,,22.44277,70.22961,4.656612873077393e-10
jamnagar_21.9200_69.4236,AGRI_BURN,,21.91997,69.4236,0.0
jamnagar_22.5745_70.2283,INDUSTRIAL,,22.574437,70.228944,68.63716545823229
jamnagar_22.3364_69.8674,INDUSTRIAL,,22.336002,69.867769,54.45311577629075
jamnagar_22.3306_69.7450,INDUSTRIAL,,22.330195,69.749564,471.1413257192871
jamnagar_22.3213_69.8813,INDUSTRIAL,,22.321638,69.881919,71.29916560234288
jamnagar_22.8475_69.6958,INDUSTRIAL,,22.84754,69.69582,4.656612873077393e-10
jamnagar_22.1186_70.3651,AGRI_BURN,,22.11862,70.36513,0.0
jamnagar_22.7179_70.5874,AGRI_BURN,,22.71792,70.58738,4.656612873077393e-10
jamnagar_22.3785_69.6896,AGRI_BURN,,22.378515,69.689568,0.0510901857874057
punjab_30.2860_76.0387,AGRI_BURN,,30.28241,76.03749,415.921971879954
punjab_30.8183_75.4558,AGRI_BURN,,30.81878,75.45073,485.9909195791007
punjab_30.4175_75.2703,INDUSTRIAL,,30.41755,75.27032,1.36260640699412e-09
punjab_30.3827_76.0553,AGRI_BURN,,30.38266,76.05525,0.0
punjab_30.4880_76.1823,AGRI_BURN,,30.48798,76.18234,1.3969838619232178e-09
punjab_30.9767_75.4498,FOREST_FIRE,,30.97674,75.44985,4.656612873077393e-10
punjab_30.8505_75.9482,INDUSTRIAL,,30.850633,75.948331,15.871264579953936
punjab_30.6641_76.3296,INDUSTRIAL,,30.663084,76.32965,107.91748956950742
punjab_30.8436_75.7591,AGRI_BURN,,30.84365,75.75692,209.88480495246048
punjab_30.5681_76.2311,INDUSTRIAL,,30.5672,76.23135,105.0896833387163
punjab_30.8344_75.5595,INDUSTRIAL,,30.83435,75.55947,0.0
uttarakhand_29.6870_79.2740,FOREST_FIRE,,29.68642,79.273677,74.86914206067769
uttarakhand_29.2601_79.1139,FOREST_FIRE,,29.26014,79.11388,0.0
uttarakhand_29.7171_78.8627,FOREST_FIRE,,29.71873,78.86456,254.85574447173352
uttarakhand_29.6757_78.9170,FOREST_FIRE,,29.67443,78.92078,394.4732945707178
uttarakhand_29.6845_79.6722,FOREST_FIRE,,29.68447,79.67215,0.0
uttarakhand_29.4831_79.3148,FOREST_FIRE,,29.483538,79.314416,63.78426336060853
uttarakhand_29.9114_78.9393,FOREST_FIRE,,29.91141,78.93929,0.0
uttarakhand_29.2054_79.0910,FOREST_FIRE,,29.20313,79.094703,438.44154763132514
uttarakhand_30.0438_80.1695,FOREST_FIRE,,30.0438,80.16947,0.0
uttarakhand_30.1478_79.6975,FOREST_FIRE,,30.1478,79.69748,0.0
uttarakhand_30.2329_79.4358,FOREST_FIRE,,30.23456,79.4363,194.0882454684605
uttarakhand_29.5471_79.4567,FOREST_FIRE,,29.547758,79.455597,133.1512984970191
punjab_30.9221_75.2818,AGRI_BURN,,30.92211,75.28175,9.313225746154783e-10
punjab_30.2100_75.7583,AGRI_BURN,,30.209153,75.75826,90.85285511335748
punjab_30.7827_75.7765,AGRI_BURN,,30.78623,75.77584,397.23188441686864
uttarakhand_30.1702_79.7626,FOREST_FIRE,,30.17117,79.76306,117.72010508531226
uttarakhand_29.2390_79.1298,AGRI_BURN,,29.23896,79.12976,9.385703304198744e-10
punjab_30.5293_76.2689,AGRI_BURN,,30.52939,76.26811,73.48838782495724
punjab_30.9261_75.3389,AGRI_BURN,,30.92617,75.3417,269.039531899063
uttarakhand_29.4397_79.7457,FOREST_FIRE,,29.438763,79.745107,121.17745735349008
jamnagar_22.3045_69.8924,AGRI_BURN,,22.30451,69.8924,1.280568540096283e-09
uttarakhand_29.5136_79.6490,FOREST_FIRE,,29.51316,79.64722,174.24955041388677
jamnagar_21.8826_70.4800,AGRI_BURN,,,,
jamnagar_21.8252_69.9978,FOREST_FIRE,,,,
jamnagar_21.8254_69.9527,AGRI_BURN,,,,
jamnagar_22.0568_70.4369,AGRI_BURN,,,,
jamnagar_22.2246_70.2768,AGRI_BURN,,,,
jamnagar_22.2256_69.9937,AGRI_BURN,,,,
jamnagar_22.2279_69.8033,INDUSTRIAL,,,,
jamnagar_22.3078_69.4980,AGRI_BURN,,,,
jamnagar_22.3072_69.7947,AGRI_BURN,,,,
jamnagar_22.3072_70.2625,AGRI_BURN,,,,
jamnagar_22.8708_70.5749,AGRI_BURN,,,,
jamnagar_22.3063_69.4976,AGRI_BURN,,,,
jamnagar_22.3070_70.2618,AGRI_BURN,,,,
jamnagar_22.3062_69.8922,AGRI_BURN,,,,
jamnagar_22.3147_70.2207,AGRI_BURN,,,,
jamnagar_22.6842_70.2941,AGRI_BURN,,,,
jamnagar_22.5053_70.2273,AGRI_BURN,,,,
jamnagar_22.5032_70.0778,AGRI_BURN,,,,
jamnagar_22.5067_70.5444,AGRI_BURN,,,,
jamnagar_22.4441_70.2742,AGRI_BURN,,,,
jamnagar_22.3973_70.3561,AGRI_BURN,,,,
jamnagar_22.3953_70.1975,AGRI_BURN,,,,
jamnagar_22.3945_70.0241,AGRI_BURN,,,,
jamnagar_22.3938_70.2100,AGRI_BURN,,,,
